category,term_used,n,scored_n,mean_score,median_score,mean_coverage
eastern,bamboo,4,3,5.731999999999999,5.61,0.5928571428571429
eastern,cherry blossom,14,14,5.8593186813186815,5.708,0.6531179138321995
eastern,emptiness,3,1,5.836666666666666,5.836666666666666,0.2857142857142857
eastern,enlightenment,6,5,4.956666666666667,4.98,0.3988095238095238
eastern,impermanence,1,1,4.960000000000001,4.960000000000001,0.4
eastern,lotus,3,3,5.057333333333333,4.94,0.5555555555555555
eastern,meditation,7,6,5.6091161616161616,5.700681818181819,0.6857142857142857
eastern,mono no aware,12,12,5.555917989417989,5.47797619047619,0.65161514898357
eastern,nirvana,2,2,4.577500000000001,4.577500000000001,0.5555555555555556
eastern,simplicity,5,4,5.751060606060606,5.808787878787879,0.6771428571428572
eastern,ukiyo,6,5,5.8806666666666665,5.953333333333333,0.6190476190476191
eastern,zen,3,3,5.510000000000001,5.5,0.47222222222222215
western,beauty,15,13,5.43930574980575,5.38,0.5984054834054834
western,divine,8,8,5.695305555555556,5.809555555555555,0.66875
western,glory,6,6,5.561818181818182,5.632954545454545,0.700925925925926
western,grace,5,5,5.135190476190476,5.3149999999999995,0.8447619047619048
western,harmony,6,6,5.522121212121212,5.415000000000001,0.7627314814814814
western,ideal,8,6,5.482611111111112,5.508333333333333,0.5520833333333334
western,pastoral,5,5,5.544545454545455,5.85,0.8528571428571429
western,romantic,3,3,6.011111111111112,6.053333333333334,0.5611111111111111
western,splendor,3,3,6.118095238095239,6.02,0.9583333333333334
western,sublime,8,6,5.527222222222222,5.449999999999999,0.5
